t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_sutor_15343,0.8452722063037249,0.09455587392550144,0.06017191977077364,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_wilsmorei_113973,0.8452722063037249,0.09742120343839542,0.05730659025787966,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,0.8051575931232091,0.10601719197707736,0.08882521489971347,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,0.6590257879656161,0.10315186246418338,0.23782234957020057,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,0.8825214899713467,0.06017191977077364,0.05730659025787966,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_wilsmorei_113973,0.8853868194842407,0.06303724928366762,0.05157593123209169,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.6532951289398281,0.10315186246418338,0.24355300859598855,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.7851002865329513,0.08882521489971347,0.12607449856733524,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.8022922636103151,0.0830945558739255,0.11461318051575932,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.6475644699140402,0.24068767908309455,0.11174785100286533,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_fulvus_17125,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.66189111747851,0.23782234957020057,0.10028653295128939,349.0
